"Species","Sex","Pop","Ages","lx","px","qx","Lx","Tx","ex"
"Loxodonta africana","Female","Samburu",11,0.676983159295735,0.99327731092437,0.00672268907563012,0.676186708520093,12.8511135882807,18.9829147325463
"Loxodonta africana","Female","Samburu",12,0.672432012006352,0.984771573604061,0.0152284263959391,0.666492764793707,12.1749268797606,18.10581094055
"Loxodonta africana","Female","Samburu",13,0.66219193060524,0.972511616088282,0.0274883839117176,0.653038630210776,11.5084341149669,17.379302862311
"Loxodonta africana","Female","Samburu",14,0.643989344593522,0.948772668733511,0.051227331266489,0.627685970849336,10.8553954847561,16.8564830705513
"Loxodonta africana","Female","Samburu",15,0.61099948910594,0.957183254462835,0.0428167455371649,0.59871518892322,10.2277095139068,16.7393094368585
"Loxodonta africana","Female","Samburu",16,0.584838479457554,0.957206073956769,0.0427939260432308,0.572288958518072,9.62899432498359,16.4643652276687
"Loxodonta africana","Female","Samburu",17,0.559810944820411,0.971544715447154,0.0284552845528455,0.552855028338023,9.05670536646552,16.1781498740989
"Loxodonta africana","Female","Samburu",18,0.543881365089749,0.930993187437007,0.0690068125629926,0.523121743412081,8.5038503381275,15.6354875970502
"Loxodonta africana","Female","Samburu",19,0.506349845672496,0.910142778281147,0.0898572217188528,0.484820960482544,7.98072859471541,15.7612936251931
"Loxodonta africana","Female","Samburu",20,0.460850655322596,0.970376558364953,0.0296234416350474,0.454081547337761,7.49590763423287,16.2653726270297
"Loxodonta africana","Female","Samburu",21,0.447198672832174,0.928773075510978,0.0712269244890222,0.428030241553291,7.04182608689511,15.7465272477179
"Loxodonta africana","Female","Samburu",22,0.415346086730766,0.926056881958164,0.0739431180418362,0.39795400353229,6.61379584534182,15.9235780873722
"Loxodonta africana","Female","Samburu",23,0.384634102011418,0.905361217105458,0.0946387828945424,0.365864680010711,6.21584184180953,16.1604023390131
"Loxodonta africana","Female","Samburu",24,0.348232798737322,1,0,0.348232798737322,5.84997716179882,16.7990412821842
"Loxodonta africana","Female","Samburu",25,0.348232798737322,0.973856209150327,0.0261437908496731,0.342986546442619,5.5017443630615,15.7990412821842
